[root@lab1-bastion templates]# oc get template -n openshift
NAME                                                DESCRIPTION                                                                        PARAMETERS        OBJECTS
eap-cd-starter-s2i                                  An example JBoss Enterprise Application Platform continuous delivery applicat...   14 (3 blank)      7
eap73-basic-s2i                                     An example JBoss Enterprise Application Platform application. For more inform...   20 (5 blank)      8
eap73-https-s2i                                     An example JBoss Enterprise Application Platform application configured with...    30 (11 blank)     10
eap73-sso-s2i                                       An example JBoss Enterprise Application Platform application Single Sign-On a...   49 (20 blank)     10
eap73-third-party-db-s2i                            An example JBoss Enterprise Application Platform application. For more inform...   34 (8 blank)      10
fuse77-console                                      The Red Hat Fuse Console eases the discovery and management of Fuse applicati...   8 (1 blank)       5
httpd-example                                       An example Apache HTTP Server (httpd) application that serves static content....   9 (3 blank)       5
jenkins-ephemeral                                   Jenkins service, without persistent storage....                                    8 (all set)       7
jenkins-ephemeral-monitored                         Jenkins service, without persistent storage. ...                                   9 (all set)       8
jenkins-persistent                                  Jenkins service, with persistent storage....                                       10 (all set)      8
jenkins-persistent-monitored                        Jenkins service, with persistent storage. ...                                      11 (all set)      9
jws31-tomcat7-basic-s2i                             Application template for JWS applications built using S2I.                         12 (3 blank)      5
jws31-tomcat7-https-s2i                             An example JBoss Web Server application configured for use with https. For mo...   17 (5 blank)      7
jws31-tomcat7-mysql-persistent-s2i                  An example JBoss Web Server application with a MySQL database. For more infor...   31 (13 blank)     10
jws31-tomcat7-mysql-s2i                             Application template for JWS MySQL applications built using S2I.                   30 (13 blank)     9
jws31-tomcat7-postgresql-persistent-s2i             An example JBoss Web Server application with a PostgreSQL database. For more...    28 (10 blank)     10
jws31-tomcat7-postgresql-s2i                        Application template for JWS PostgreSQL applications built using S2I.              27 (10 blank)     9
jws31-tomcat8-basic-s2i                             An example JBoss Web Server application. For more information about using thi...   12 (3 blank)      5
jws31-tomcat8-https-s2i                             An example JBoss Web Server application. For more information about using thi...   17 (5 blank)      7
jws31-tomcat8-mysql-persistent-s2i                  An example JBoss Web Server application with a MySQL database. For more infor...   31 (13 blank)     10
jws31-tomcat8-mysql-s2i                             Application template for JWS MySQL applications built using S2I.                   30 (13 blank)     9
jws31-tomcat8-postgresql-persistent-s2i             Application template for JWS PostgreSQL applications with persistent storage...    28 (10 blank)     10
jws53-openjdk11-tomcat9-basic-s2i                   An example JBoss Web Server application. For more information about using thi...   12 (3 blank)      5
jws53-openjdk11-tomcat9-https-s2i                   An example JBoss Web Server application. For more information about using thi...   17 (5 blank)      7
jws53-openjdk11-tomcat9-mysql-persistent-s2i        An example JBoss Web Server application with a MySQL database. For more infor...   31 (13 blank)     10
jws53-openjdk11-tomcat9-mysql-s2i                   Application template for JWS MySQL applications built using S2I.                   30 (13 blank)     9
jws53-openjdk11-tomcat9-postgresql-persistent-s2i   Application template for JWS PostgreSQL applications with persistent storage...    28 (10 blank)     10
jws53-openjdk8-tomcat9-basic-s2i                    An example JBoss Web Server application. For more information about using thi...   12 (3 blank)      5
jws53-openjdk8-tomcat9-https-s2i                    An example JBoss Web Server application. For more information about using thi...   17 (5 blank)      7
jws53-openjdk8-tomcat9-mysql-persistent-s2i         An example JBoss Web Server application with a MySQL database. For more infor...   31 (13 blank)     10
jws53-openjdk8-tomcat9-mysql-s2i                    Application template for JWS MySQL applications built using S2I.                   30 (13 blank)     9
jws53-openjdk8-tomcat9-postgresql-persistent-s2i    Application template for JWS PostgreSQL applications with persistent storage...    28 (10 blank)     10
mariadb-ephemeral                                   MariaDB database service, without persistent storage. For more information ab...   8 (3 generated)   3
mariadb-persistent                                  MariaDB database service, with persistent storage. For more information about...   9 (3 generated)   4
mysql-ephemeral                                     MySQL database service, without persistent storage. For more information abou...   8 (3 generated)   3
mysql-persistent                                    MySQL database service, with persistent storage. For more information about u...   9 (3 generated)   4
nginx-example                                       An example Nginx HTTP server and a reverse proxy (nginx) application that ser...   10 (3 blank)      5
nodejs-mongodb-example                              An example Node.js application with a MongoDB database. For more information...    18 (4 blank)      8
nodejs-postgresql-example                           An example Node.js application with a PostgreSQL database. For more informati...   18 (4 blank)      8
nodejs-postgresql-persistent                        An example Node.js application with a PostgreSQL database. For more informati...   19 (4 blank)      9
openjdk-web-basic-s2i                               An example Java application using OpenJDK. For more information about using t...   9 (1 blank)       5
postgresql-ephemeral                                PostgreSQL database service, without persistent storage. For more information...   7 (2 generated)   3
postgresql-persistent                               PostgreSQL database service, with persistent storage. For more information ab...   8 (2 generated)   4
processserver64-amq-mysql-persistent-s2i            An example BPM Suite application with A-MQ and a MySQL database. For more inf...   49 (13 blank)     14
processserver64-amq-mysql-s2i                       An example BPM Suite application with A-MQ and a MySQL database. For more inf...   47 (13 blank)     12
processserver64-amq-postgresql-persistent-s2i       An example BPM Suite application with A-MQ and a PostgreSQL database. For mor...   46 (10 blank)     14
processserver64-amq-postgresql-s2i                  An example BPM Suite application with A-MQ and a PostgreSQL database. For mor...   44 (10 blank)     12
processserver64-basic-s2i                           An example BPM Suite application. For more information about using this templ...   17 (5 blank)      5
processserver64-externaldb-s2i                      An example BPM Suite application with a external database. For more informati...   47 (22 blank)     7
processserver64-mysql-persistent-s2i                An example BPM Suite application with a MySQL database. For more information...    40 (14 blank)     10
processserver64-mysql-s2i                           An example BPM Suite application with a MySQL database. For more information...    39 (14 blank)     9
processserver64-postgresql-persistent-s2i           An example BPM Suite application with a PostgreSQL database. For more informa...   37 (11 blank)     10
rails-pgsql-persistent                              An example Rails application with a PostgreSQL database. For more information...   21 (4 blank)      9
rails-postgresql-example                            An example Rails application with a PostgreSQL database. For more information...   20 (4 blank)      8
redis-ephemeral                                     Redis in-memory data structure store, without persistent storage. For more in...   5 (1 generated)   3
redis-persistent                                    Redis in-memory data structure store, with persistent storage. For more infor...   6 (1 generated)   4
rhdm78-authoring                                    Application template for a non-HA persistent authoring environment, for Red H...   69 (45 blank)     11
rhdm78-authoring-ha                                 Application template for a HA persistent authoring environment, for Red Hat D...   87 (46 blank)     18
rhdm78-kieserver                                    Application template for a managed KIE Server, for Red Hat Decision Manager 7...   57 (41 blank)     7
rhdm78-prod-immutable-kieserver                     Application template for an immutable KIE server in a production environment,...   62 (44 blank)     9
rhdm78-prod-immutable-kieserver-amq                 Application template for an immutable KIE server in a production environment...    76 (53 blank)     21
rhdm78-trial-ephemeral                              Application template for an ephemeral authoring and testing environment, for...    62 (39 blank)     8
rhpam78-authoring                                   Application template for a non-HA persistent authoring environment, for Red H...   73 (45 blank)     12
rhpam78-authoring-ha                                Application template for a HA persistent authoring environment, for Red Hat P...   96 (46 blank)     21
rhpam78-kieserver-externaldb                        Application template for a managed KIE Server with an external database, for...    79 (58 blank)     9
rhpam78-kieserver-mysql                             Application template for a managed KIE Server with a MySQL database, for Red...    66 (41 blank)     10
rhpam78-kieserver-postgresql                        Application template for a managed KIE Server with a PostgreSQL database, for...   67 (41 blank)     10
rhpam78-managed                                     Application template for a managed HA production runtime environment, for Red...   80 (45 blank)     16
rhpam78-prod                                        Application template for a managed HA production runtime environment, for Red...   95 (54 blank)     31
rhpam78-prod-immutable-kieserver                    Application template for an immutable KIE server in a production environment,...   72 (44 blank)     12
rhpam78-prod-immutable-kieserver-amq                Application template for an immutable KIE server in a production environment...    93 (57 blank)     24
rhpam78-prod-immutable-monitor                      Application template for a router and monitoring console in a production envi...   62 (43 blank)     15
rhpam78-trial-ephemeral                             Application template for an ephemeral authoring and testing environment, for...    62 (39 blank)     8
s2i-fuse77-spring-boot-camel                        Spring Boot and Camel QuickStart. This example demonstrates how you can use A...   17 (3 blank)      3
s2i-fuse77-spring-boot-camel-rest-3scale            Spring Boot, Camel REST DSL and 3Scale QuickStart. This example demonstrates...    18 (3 blank)      5
s2i-fuse77-spring-boot-camel-xml                    Spring Boot and Camel Xml QuickStart. This example demonstrates how you can u...   17 (3 blank)      3
sso72-https                                         An example RH-SSO 7 application. For more information about using this templa...   26 (15 blank)     6
sso72-mysql                                         An example RH-SSO 7 application with a MySQL database. For more information a...   36 (20 blank)     8
sso72-mysql-persistent                              An example RH-SSO 7 application with a MySQL database. For more information a...   37 (20 blank)     9
sso72-postgresql                                    An example RH-SSO 7 application with a PostgreSQL database. For more informat...   33 (17 blank)     8
sso72-postgresql-persistent                         An example RH-SSO 7 application with a PostgreSQL database. For more informat...   34 (17 blank)     9
sso73-https                                         An example application based on RH-SSO 7.3 image. For more information about...    27 (16 blank)     6
sso73-mysql                                         An example application based on RH-SSO 7.3 image. For more information about...    37 (21 blank)     8
sso73-mysql-persistent                              An example application based on RH-SSO 7.3 image. For more information about...    38 (21 blank)     9
sso73-ocp4-x509-https                               An example application based on RH-SSO 7.3 image. For more information about...    13 (7 blank)      5
sso73-ocp4-x509-mysql-persistent                    An example application based on RH-SSO 7.3 image. For more information about...    24 (12 blank)     8
sso73-ocp4-x509-postgresql-persistent               An example application based on RH-SSO 7.3 image. For more information about...    21 (9 blank)      8
sso73-postgresql                                    An example application based on RH-SSO 7.3 image. For more information about...    34 (18 blank)     8
sso73-postgresql-persistent                         An example application based on RH-SSO 7.3 image. For more information about...    35 (18 blank)     9
sso74-https                                         An example application based on RH-SSO 7.4 on OpenJDK image. For more informa...   27 (16 blank)     6
sso74-ocp4-x509-https                               An example application based on RH-SSO 7.4 on OpenJDK image. For more informa...   13 (7 blank)      5
sso74-ocp4-x509-postgresql-persistent               An example application based on RH-SSO 7.4 on OpenJDK image. For more informa...   21 (9 blank)      8
sso74-postgresql                                    An example application based on RH-SSO 7.4 on OpenJDK image. For more informa...   34 (18 blank)     8
sso74-postgresql-persistent                         An example application based on RH-SSO 7.4 on OpenJDK image. For more informa...   35 (18 blank)     9
